ds,y
2025-01-01 00:00:00,535.4148408532768
2025-01-01 01:00:00,605.4368117816858
2025-01-01 02:00:00,788.8123751429957
2025-01-01 03:00:00,1188.926438645512
2025-01-01 04:00:00,1910.048228803754
2025-01-01 05:00:00,2965.0405646172003
2025-01-01 06:00:00,4176.637721749293
2025-01-01 07:00:00,5178.731714427385
2025-01-01 08:00:00,5630.940194877787
2025-01-01 09:00:00,5332.6835793273885
2025-01-01 10:00:00,4475.698263487159
2025-01-01 11:00:00,3505.037784739041
2025-01-01 12:00:00,2864.1478280900437
2025-01-01 13:00:00,2789.6238705118176
2025-01-01 14:00:00,3259.518727086502
2025-01-01 15:00:00,4056.3703641041725
2025-01-01 16:00:00,4866.727961071294
2025-01-01 17:00:00,5386.225063412717
2025-01-01 18:00:00,5379.713261294231
2025-01-01 19:00:00,4869.943665821163
2025-01-01 20:00:00,4007.813222381142
2025-01-01 21:00:00,3026.058562245975
2025-01-01 22:00:00,2135.6299170071015
2025-01-01 23:00:00,1457.4377852596178
