ds,y
2025-01-01 00:00:00,491.0020705927673
2025-01-01 01:00:00,555.2157047498695
2025-01-01 02:00:00,723.3802277261611
2025-01-01 03:00:00,1090.304748047513
2025-01-01 04:00:00,1751.6093386206544
2025-01-01 05:00:00,2719.089844985352
2025-01-01 06:00:00,3830.1847707967027
2025-01-01 07:00:00,4749.154862379112
2025-01-01 08:00:00,5163.852557136516
2025-01-01 09:00:00,4890.3363886831885
2025-01-01 10:00:00,4104.438179596266
2025-01-01 11:00:00,3214.294185551661
2025-01-01 12:00:00,2626.566181532811
2025-01-01 13:00:00,2558.224001436791
2025-01-01 14:00:00,2989.140983811374
2025-01-01 15:00:00,3719.8936149998895
2025-01-01 16:00:00,4463.031884005159
2025-01-01 17:00:00,4939.436595742465
2025-01-01 18:00:00,4933.464948937959
2025-01-01 19:00:00,4465.9808453901
2025-01-01 20:00:00,3675.364298087272
2025-01-01 21:00:00,2775.046387264618
2025-01-01 22:00:00,1958.4789797743038
2025-01-01 23:00:00,1336.543023690132
