ds,y
2025-01-01 00:00:00,605.4056917224443
2025-01-01 01:00:00,684.5811207750343
2025-01-01 02:00:00,891.9280251021956
2025-01-01 03:00:00,1344.346062294779
2025-01-01 04:00:00,2159.734809254287
2025-01-01 05:00:00,3352.638546862941
2025-01-01 06:00:00,4722.618904212634
2025-01-01 07:00:00,5855.709286693155
2025-01-01 08:00:00,6367.031661458733
2025-01-01 09:00:00,6029.786148502237
2025-01-01 10:00:00,5060.77343472427
2025-01-01 11:00:00,3963.2256386496765
2025-01-01 12:00:00,3238.556843693021
2025-01-01 13:00:00,3154.290916331654
2025-01-01 14:00:00,3685.6116773102854
2025-01-01 15:00:00,4586.629877963869
2025-01-01 16:00:00,5502.919573543785
2025-01-01 17:00:00,6090.326717674481
2025-01-01 18:00:00,6082.963675477857
2025-01-01 19:00:00,5506.55564376434
2025-01-01 20:00:00,4531.725217633486
2025-01-01 21:00:00,3421.632979297977
2025-01-01 22:00:00,2414.805135226236
2025-01-01 23:00:00,1647.9579257111398
