ds,y
2025-01-01 00:00:00,582.1158568883325
2025-01-01 01:00:00,658.2454231570619
2025-01-01 02:00:00,857.6157339021498
2025-01-01 03:00:00,1292.629340468701
2025-01-01 04:00:00,2076.6502468183016
2025-01-01 05:00:00,3223.663218281603
2025-01-01 06:00:00,4540.9407076455755
2025-01-01 07:00:00,5630.441331686577
2025-01-01 08:00:00,6122.093237842262
2025-01-01 09:00:00,5797.821491737802
2025-01-01 10:00:00,4866.086501583203
2025-01-01 11:00:00,3810.7611478189797
2025-01-01 12:00:00,3113.970215219312
2025-01-01 13:00:00,3032.9459810848552
2025-01-01 14:00:00,3543.826939570186
2025-01-01 15:00:00,4410.183151803993
2025-01-01 16:00:00,5291.223367634982
2025-01-01 17:00:00,5856.033077426635
2025-01-01 18:00:00,5848.953289977993
2025-01-01 19:00:00,5294.719558967645
2025-01-01 20:00:00,4357.390662680787
2025-01-01 21:00:00,3290.003448818877
2025-01-01 22:00:00,2321.9080688045874
2025-01-01 23:00:00,1584.5613167460328
